bits,dataset_size,mean_accuracy,std_accuracy
80,4,50.773000,3.014344
80,8,50.898000,2.996097
80,80,59.876000,2.940293
80,160,68.839500,2.454402
80,400,83.386000,1.682678
80,800,90.595000,1.139682
80,1200,93.525000,0.953349
